title,rating
The Shawshank Redemption,9.2
The Godfather,9.2
The Godfather: Part II,9.0
The Dark Knight,9.0
12 Angry Men,8.9
Schindler's List,8.9
The Lord of the Rings: The Return of the King,8.9
Pulp Fiction,8.9
"The Good, the Bad and the Ugly",8.8
Fight Club,8.8
The Lord of the Rings: The Fellowship of the Ring,8.8
Forrest Gump,8.7
Star Wars: Episode V - The Empire Strikes Back,8.7
Inception,8.7
The Lord of the Rings: The Two Towers,8.7
One Flew Over the Cuckoo's Nest,8.7
Goodfellas,8.7
The Matrix,8.6
Seven Samurai,8.6
Se7en,8.6
City of God,8.6
Star Wars: Episode IV - A New Hope,8.6
The Silence of the Lambs,8.6
It's a Wonderful Life,8.6
Life Is Beautiful,8.6
Spirited Away,8.5
Saving Private Ryan,8.5
The Usual Suspects,8.5
Léon: The Professional,8.5
Spider-Man: Into the Spider-Verse,8.5
The Green Mile,8.5
Interstellar,8.5
Psycho,8.5
American History X,8.5
City Lights,8.5
Casablanca,8.5
Once Upon a Time in the West,8.5
The Pianist,8.5
Modern Times,8.5
The Intouchables,8.5
The Departed,8.5
Back to the Future,8.5
Terminator 2: Judgment Day,8.5
Whiplash,8.5
Rear Window,8.5
The Lion King,8.5
Raiders of the Lost Ark,8.5
Gladiator,8.5
The Prestige,8.5
Apocalypse Now,8.4
Memento,8.4
Alien,8.4
Cinema Paradiso,8.4
Grave of the Fireflies,8.4
The Great Dictator,8.4
Sunset Boulevard,8.4
The Lives of Others,8.4
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4
Paths of Glory,8.4
Avengers: Infinity War,8.4
The Shining,8.4
Django Unchained,8.4
WALL·E,8.4
Princess Mononoke,8.4
Witness for the Prosecution,8.4
Олдбой,8.3
The Dark Knight Rises,8.3
Aliens,8.3
American Beauty,8.3
Once Upon a Time in America,8.3
Coco,8.3
Das Boot,8.3
Citizen Kane,8.3
Braveheart,8.3
Vertigo,8.3
North by Northwest,8.3
Reservoir Dogs,8.3
Star Wars: Episode VI - Return of the Jedi,8.3
Your Name.,8.3
M,8.3
Amadeus,8.3
Requiem for a Dream,8.3
Dangal,8.3
Звёздочки на земле,8.3
Три идиота,8.3
Lawrence of Arabia,8.3
Eternal Sunshine of the Spotless Mind,8.3
2001: A Space Odyssey,8.3
Toy Story,8.3
A Clockwork Orange,8.3
Amélie,8.3
Double Indemnity,8.3
Singin' in the Rain,8.3
Taxi Driver,8.3
Inglourious Basterds,8.3
Full Metal Jacket,8.3
Bicycle Thieves,8.3
To Kill a Mockingbird,8.3
The Kid,8.3
The Sting,8.3
Good Will Hunting,8.3
Toy Story 3,8.3
The Hunt,8.3
Snatch,8.3
Scarface,8.2
For a Few Dollars More,8.2
Monty Python and the Holy Grail,8.2
The Apartment,8.2
Metropolis,8.2
L.A. Confidential,8.2
A Separation,8.2
Indiana Jones and the Last Crusade,8.2
Rashomon,8.2
Up,8.2
All About Eve,8.2
Batman Begins,8.2
Yojimbo,8.2
Some Like It Hot,8.2
Downfall,8.2
Unforgiven,8.2
Die Hard,8.2
The Treasure of the Sierra Madre,8.2
Heat,8.2
Incendies,8.2
Ikiru,8.2
Raging Bull,8.2
Green Book,8.2
The Great Escape,8.2
Children of Heaven,8.2
Pan's Labyrinth,8.2
Chinatown,8.2
Мой отец и мой сын,8.2
My Neighbor Totoro,8.2
The Third Man,8.2
Howl's Moving Castle,8.2
Ran,8.2
Judgment at Nuremberg,8.2
The Secret in Their Eyes,8.2
The Gold Rush,8.2
Andhadhun,8.2
The Bridge on the River Kwai,8.2
A Beautiful Mind,8.2
"Lock, Stock and Two Smoking Barrels",8.2
Casino,8.2
"Three Billboards Outside Ebbing, Missouri",8.2
The Seventh Seal,8.2
On the Waterfront,8.2
Inside Out,8.1
The Elephant Man,8.1
The Wolf of Wall Street,8.1
Room,8.1
V for Vendetta,8.1
Mr. Smith Goes to Washington,8.1
Warrior,8.1
Blade Runner,8.1
Dial M for Murder,8.1
Wild Strawberries,8.1
No Country for Old Men,8.1
The General,8.1
There Will Be Blood,8.1
Trainspotting,8.1
The Sixth Sense,8.1
Gone with the Wind,8.1
The Thing,8.1
Fargo,8.1
Come and See,8.1
Gran Torino,8.1
Finding Nemo,8.1
The Deer Hunter,8.1
The Big Lebowski,8.1
Shutter Island,8.1
Sherlock Jr.,8.1
Kill Bill: Vol. 1,8.1
Cool Hand Luke,8.1
Neon Genesis Evangelion: The End of Evangelion,8.1
Tokyo Story,8.1
Rebecca,8.1
Мэри и Макс,8.1
Hacksaw Ridge,8.1
How to Train Your Dragon,8.1
Gone Girl,8.1
Jurassic Park,8.1
Дикие истории,8.1
Sunrise,8.1
The Truman Show,8.1
Stalker,8.1
Into the Wild,8.1
In the Name of the Father,8.1
The Grand Budapest Hotel,8.1
Stand by Me,8.1
It Happened One Night,8.1
Platoon,8.1
Life of Brian,8.1
Network,8.1
Memories of Murder,8.1
The Bandit,8.1
Persona,8.1
Ben-Hur,8.1
12 Years a Slave,8.1
Hotel Rwanda,8.1
Million Dollar Baby,8.1
Before Sunrise,8.1
Andrei Rublev,8.1
The Wages of Fear,8.1
Rush,8.1
Mad Max: Fury Road,8.1
Prisoners,8.1
The Passion of Joan of Arc,8.1
The 400 Blows,8.1
Hachi: A Dog's Tale,8.1
Spotlight,8.1
Amores Perros,8.1
Logan,8.1
Catch Me If You Can,8.1
The Princess Bride,8.1
Nausicaä of the Valley of the Wind,8.1
Harry Potter and the Deathly Hallows: Part 2,8.0
Цвет шафрана,8.0
Butch Cassidy and the Sundance Kid,8.0
Rocky,8.0
Barry Lyndon,8.0
"Monsters, Inc.",8.0
The Grapes of Wrath,8.0
The Maltese Falcon,8.0
Dead Poets Society,8.0
The Terminator,8.0
Donnie Darko,8.0
Gandhi,8.0
La Haine,8.0
Diabolique,8.0
In the Mood for Love,8.0
Groundhog Day,8.0
The Handmaiden,8.0
The Wizard of Oz,8.0
The Help,8.0
Jaws,8.0
The Nights of Cabiria,8.0
Before Sunset,8.0
Castle in the Sky,8.0
"Париж, Техас",8.0
Bohemian Rhapsody,8.0
The Best Years of Our Lives,8.0
Tangerines,8.0
Банды Вассейпура,8.0
Pirates of the Caribbean: The Curse of the Black Pearl,8.0
Guardians of the Galaxy,8.0
Beauty and the Beast,8.0
The Exorcist,8.0
Акира,8.0
Песнь моря,8.0
